node,label,longitude,latitude,degree,degree_centrality,betweenness,closeness,eigenvector,core_number,k_shell,eccentricity,top_10pct_degree,top_10_betweenness,selected_k_core,max_core_node,incident_roads,degree_rank,degree_rank_pct,betweenness_rank
2098144101,2098144101,-36.789726,-6.4123226,4,0.006600660066006601,0.2668084990317214,0.0003200603698675107,0.1052375491221055,2,2,31,1,0,1,1,Avenida Doutor Sílvio Bezerra de Melo / secondary | Avenida Doutor Sílvio Bezerra de Melo; Rua Felix Pereira de Araujo / secondary | Rua Miguel Laurentino / residential | residential,5,0.008237232289950576,18
2098144105,2098144105,-36.7920121,-6.4138267,3,0.0049504950495049506,0.2509396394184873,0.00031390330791987675,0.09751744210683044,2,2,35,0,0,1,1,Rua Felix Pereira de Araujo / secondary | Rua Julio Barbosa / residential,100,0.16474464579901152,25
2098144124,2098144124,-36.7909404,-6.4131183,4,0.006600660066006601,0.26617025338897526,0.0003183970925435388,0.20244324107291334,2,2,33,1,0,1,1,Rua Felix Pereira de Araujo / secondary | Rua João Gomes / residential | Rua Raimundo Hermes Dantas / residential,6,0.009884678747940691,19
2098144128,2098144128,-36.7905921,-6.4128894,4,0.006600660066006601,0.26420642064206423,0.0003189233109303356,0.18625618640585345,2,2,32,1,0,1,1,Rua Felix Pereira de Araujo / secondary | Rua Leôncio Pires Galvão / residential,9,0.014827018121911038,22
2098144132,2098144132,-36.7851763,-6.4119135,4,0.006600660066006601,0.061697078798788975,0.0003154345015657851,0.0022647746058437413,2,2,33,1,0,1,1,Avenida Doutor Sílvio Bezerra de Melo / secondary | Rua Nemézio Palmeira / residential | Rua Teotônio Guerra / residential,25,0.04118616144975288,108
2098144135,2098144135,-36.7924082,-6.4140835,3,0.0049504950495049506,0.2491121839456673,0.00031329096798513034,0.060661077075791686,2,2,36,0,0,1,1,Rua Felix Pereira de Araujo / secondary | Rua João Fernandes de Brito / residential,101,0.16639209225700163,26
2098146212,2098146212,-36.7863733,-6.4167206,3,0.0049504950495049506,0.017079889807162536,0.00030278169577369784,0.00030054640808535593,2,2,32,0,0,1,1,Avenida Carmelita Monteiro da Silva / RN-288 / secondary | Rua Abilio Cordula / residential,298,0.49093904448105435,277
2098146559,2098146559,-36.7838466,-6.4130087,4,0.006600660066006601,0.014526907236178164,0.0003023336701969207,0.0018366358787058202,2,2,34,0,0,1,1,Rua Abilio Cordula / residential | Rua Cícero Simão Bezerra / residential,68,0.11202635914332784,311
2098146561,2098146561,-36.784774,-6.4140185,3,0.0049504950495049506,0.017565392902926656,0.000302306565498352,0.0007826534122225287,2,2,34,0,0,1,1,Rua Abilio Cordula / residential | Rua João André / residential,295,0.48599670510708404,274
2098146562,2098146562,-36.7842568,-6.413275,4,0.006600660066006601,0.017718135449908627,0.0003032115968842152,0.0021189495128288442,2,2,35,0,0,1,1,Rua Abilio Cordula / residential | Rua Teotônio Guerra / residential,62,0.10214168039538715,272
2098146563,2098146563,-36.7845802,-6.4137273,4,0.006600660066006601,0.019027357281182666,0.0003024935383425553,0.001837232433237674,2,2,34,1,0,1,1,Rua Abilio Cordula / residential | Rua Pedro Vital / residential,60,0.09884678747940692,264
2098146565,2098146565,-36.7834162,-6.4127225,3,0.0049504950495049506,0.011848457573030031,0.00030115707040696203,0.0009809206979321185,2,2,35,0,0,1,1,Rua Abilio Cordula / residential | Rua Doutor Mário Nóbrega / residential,357,0.5881383855024712,347
2098146884,2098146884,-36.7828636,-6.4135981,3,0.0049504950495049506,0.019251016010691978,0.0002971951929118737,0.0007249660121407508,2,2,36,0,0,1,1,Avenida Carmelita Monteiro da Silva / RN-288 / secondary | Rua Doutor Mário Nóbrega / residential,285,0.4695222405271829,260
2098146885,2098146885,-36.7838694,-6.4120075,3,0.0049504950495049506,0.01610888361563429,0.0003086514517455839,0.000874275625339281,2,2,35,0,0,1,1,Rua Antônio Alves da Cunha / residential | Rua Doutor Mário Nóbrega / residential,310,0.5107084019769358,290
2098147092,2098147092,-36.7825753,-6.4132356,3,0.0049504950495049506,0.019480129831164934,0.0002974590556031882,0.0005167430122647538,2,2,36,0,0,1,1,Avenida Carmelita Monteiro da Silva / RN-288 / secondary | Rua Antônio Alves da Cunha / residential,279,0.4596375617792422,254
2098148502,2098148502,-36.7832113,-6.4139759,3,0.0049504950495049506,0.01854185418541854,0.000298095302715424,0.0010412223113990947,2,2,35,0,0,1,1,Avenida Carmelita Monteiro da Silva / RN-288 / secondary | Rua Cícero Simão Bezerra / residential,291,0.4794069192751236,268
2098148505,2098148505,-36.7845706,-6.4118681,4,0.006600660066006601,0.057267544936311816,0.00031274827959686867,0.001975913777855359,2,2,33,1,0,1,1,Avenida Doutor Sílvio Bezerra de Melo / secondary | Rua Cícero Simão Bezerra / residential | Rua Hiroilton Pereira / residential,27,0.044481054365733116,119
2098149631,2098149631,-36.7835684,-6.4143687,3,0.0049504950495049506,0.019261926192619263,0.0002994072695663456,0.0010867388237480063,2,2,35,0,0,1,1,Avenida Carmelita Monteiro da Silva / RN-288 / secondary | Rua Teotônio Guerra / residential,284,0.46787479406919275,259
2098150223,2098150223,-36.7843112,-6.4141181,3,0.0049504950495049506,0.002983934757112075,0.00029934358931183483,0.0008522557308058037,2,2,35,0,0,1,1,Rua Abilio Bispo de Sales / residential | Rua Pedro Vital / residential,461,0.7594728171334432,465
2098150224,2098150224,-36.7838812,-6.4147183,3,0.0049504950495049506,0.01970378856067425,0.00030026482273830816,0.0006498698263884358,2,2,35,0,0,1,1,Avenida Carmelita Monteiro da Silva / RN-288 / secondary | Rua Pedro Vital / residential,276,0.4546952224052718,250
2098152630,2098152630,-36.7855643,-6.4114103,3,0.0049504950495049506,0.03032485066688487,0.00031253306160468884,0.003000211399656826,2,2,31,0,0,1,1,Rua Leoncio Etelvino de Medeiros / residential | Rua Tiburtino Bezerra / residential,232,0.38220757825370677,189
2098152636,2098152636,-36.7849789,-6.4110226,4,0.006600660066006601,0.024907945339988545,0.0003101446096891172,0.0021218368779557886,2,2,32,1,0,1,1,Rua Tiburtino Bezerra / residential | residential,48,0.07907742998352553,215
2098152642,2098152642,-36.7838393,-6.4103421,4,0.006600660066006601,0.01982380056187437,0.0003037237222176003,0.0013871504826001608,2,2,32,1,0,1,1,Rua Tiburtino Bezerra / residential | residential,58,0.09555189456342669,249
2098152645,2098152645,-36.7828287,-6.4097612,1,0.0016501650165016502,0.0,0.00029228974265650345,0.0003935961587652702,1,1,33,0,0,0,0,Rua Tiburtino Bezerra / residential,606,0.9983525535420099,606
2098154102,2098154102,-36.7840308,-6.4100708,4,0.006600660066006601,0.01880915364263699,0.0003016181187139661,0.0014850824382482105,2,2,32,1,0,1,1,Rua Antônio Hipólito / residential | residential,61,0.10049423393739704,266
2098154106,2098154106,-36.7851265,-6.4107622,3,0.0049504950495049506,0.016714398712598534,0.0003077732076176789,0.0018075078459244944,2,2,32,0,0,1,1,Rua Antônio Hipólito / residential | residential,303,0.49917627677100496,283
2098154108,2098154108,-36.7832378,-6.4096026,1,0.0016501650165016502,0.0,0.0002926365634964584,0.0004211850453927306,1,1,33,0,0,0,0,Rua Antônio Hipólito / residential,605,0.9967051070840197,605
