metric,count,mean,std,min,25%,50%,75%,max
degree,607.0,2.767710049423394,0.8994379588735036,1.0,3.0,3.0,3.0,4.0
degree_centrality,607.0,0.0045671782993785374,0.0014842210542467104,0.0016501650165016502,0.0049504950495049506,0.0049504950495049506,0.0049504950495049506,0.006600660066006601
betweenness,607.0,0.044947262436293045,0.07539888826526844,0.0,0.0033003300330033004,0.015121512151215122,0.04357799416305267,0.38767694951313314
closeness,607.0,0.0002322638668373798,7.838978255893052e-05,6.569025940169937e-05,0.00014985298365944845,0.0002594922310485982,0.00030379049190882516,0.00032138236694459726
core_number,607.0,1.7907742998352554,0.4070913004022116,1.0,2.0,2.0,2.0,2.0
